,precision,recall,f1-score,support
198,0.9333333333333333,0.8484848484848485,0.8888888888888888,99.0
199,0.17763157894736842,0.2727272727272727,0.2151394422310757,99.0
200,0.19718309859154928,0.2828282828282828,0.23236514522821577,99.0
201,0.8617021276595744,0.8181818181818182,0.8393782383419689,99.0
202,0.10112359550561797,0.09090909090909091,0.09574468085106383,99.0
203,0.8923076923076924,0.5858585858585859,0.7073170731707317,99.0
204,0.6060606060606061,0.20202020202020202,0.30303030303030304,99.0
205,0.6231884057971014,0.43434343434343436,0.5119047619047619,99.0
206,0.0,0.0,0.0,99.0
207,0.6363636363636364,0.8484848484848485,0.7272727272727273,99.0
208,0.8596491228070176,0.494949494949495,0.6282051282051282,99.0
209,0.0,0.0,0.0,99.0
210,0.8181818181818182,0.7272727272727273,0.7700534759358288,99.0
211,0.5294117647058824,0.09090909090909091,0.15517241379310345,99.0
212,0.0,0.0,0.0,99.0
213,0.18055555555555555,0.13131313131313133,0.15204678362573099,99.0
214,0.35802469135802467,0.8787878787878788,0.5087719298245614,99.0
215,0.6666666666666666,0.08080808080808081,0.14414414414414414,99.0
216,0.8823529411764706,0.7575757575757576,0.8152173913043478,99.0
217,0.7319587628865979,0.7171717171717171,0.7244897959183674,99.0
218,0.04201680672268908,0.050505050505050504,0.045871559633027525,99.0
219,0.4090909090909091,0.18181818181818182,0.2517482517482518,99.0
220,0.8157894736842105,0.31313131313131315,0.45255474452554745,99.0
221,0.8378378378378378,0.31313131313131315,0.45588235294117646,99.0
222,0.034482758620689655,0.020202020202020204,0.025477707006369428,99.0
223,0.8333333333333334,0.050505050505050504,0.09523809523809523,99.0
224,0.0,0.0,0.0,99.0
225,0.5714285714285714,0.04040404040404041,0.07547169811320754,99.0
226,0.9666666666666667,0.8787878787878788,0.9206349206349206,99.0
227,0.921875,0.5959595959595959,0.7239263803680982,99.0
228,0.0,0.0,0.0,99.0
229,0.6407766990291263,0.6666666666666666,0.6534653465346535,99.0
230,0.7063492063492064,0.898989898989899,0.7911111111111111,99.0
231,0.8235294117647058,0.42424242424242425,0.56,99.0
232,0.43478260869565216,0.6060606060606061,0.5063291139240507,99.0
233,0.023255813953488372,0.06060606060606061,0.03361344537815126,99.0
234,0.7288135593220338,0.8686868686868687,0.7926267281105991,99.0
235,0.030303030303030304,0.020202020202020204,0.024242424242424242,99.0
236,0.703125,0.9090909090909091,0.7929515418502202,99.0
237,0.32786885245901637,0.20202020202020202,0.25,99.0
238,0.1875,0.030303030303030304,0.05217391304347826,99.0
239,0.2608695652173913,0.06060606060606061,0.09836065573770492,99.0
240,0.8095238095238095,0.1717171717171717,0.2833333333333333,99.0
